edition_key,facsimile_url
Paris_1632,https://www.google.com/books/edition/Les_quinze_livres_des_%C3%A9l%C3%A9ments_d_Eucli/TkP-1l5L1lUC
Paris_1632,https://gallica.bnf.fr/view3if/ga/ark:/12148/bpt6k1510937s/f5
Uppsala_1642,https://www.google.com/books/edition/Martini_E_Gestrini_in_Geometriam_Euclidi/qIxmAAAAcAAJ
Uppsala_1642,https://dlc.mpg.de/!metadata/868389269/7/-/
1496,https://www.google.com/books/edition/In_hoc_opere_contenta_Arithmetica_decem/KCJNAAAAcAAJ
Paris_1532,https://www.google.com/books/edition/Orontii_Finei_Delphinatis_Protomathesis/x2Ruac-uYXQC
ustc-44,https://gallica.bnf.fr/ark:/12148/bpt6k87022278
Valencia_1569,https://www.google.com/books/edition/Elementa_Arithmeticae_ac_Geometriae_ad_d/K70GCXRIKywC
ustc-32,https://gallica.bnf.fr/ark:/12148/bpt6k87019956
Ferrara_1587,https://www.google.com/books/edition/Della_Nuova_Geometria_Libri_XV/Yww8AAAAcAAJ
Tours_1593,https://www.google.com/books/edition/Variorum_de_rebus_mathematicis_responsor/7_BCAAAAcAAJ
ustc-29,https://gallica.bnf.fr/ark:/12148/bpt6k5818416x
ustc-16,https://search.proquest.com/docview/2090307959
Bologna_1620,https://www.google.com/books/edition/I_primi_sei_libri_de_gl_Elementi_d_Eucli/F1e1uphuIpUC
Paris_1626,https://gallica.bnf.fr/view3if/ga/ark:/12148/bpt6k8702136w
Amsterdam_1660a,https://www.google.com/books/edition/De_universae_mathesios_natura_et_constit/ih9mAAAAcAAJ
Valencia_1673,https://www.google.com/books/edition/Euclides_novo_antiquus_singulari_methodo/jnuBFEIHGMgC
Rome_1679,https://www.google.com/books/edition/Euclides_restitutus_denu%C3%B2_limatus_siue/8n07S9c7y6wC
bib-1,https://www.proquest.com/docview/2090341012
bib-2,https://gallica.bnf.fr/ark:/12148/bpt6k87022293
bib-4,https://books.google.fr/books?id=ZXGBSgVFbd0C&hl=iw&pg=PA1#v=onepage&q&f=false
bib-5,https://www.google.com/books/edition/La_Pratique_universelle_de_G%C3%A9ometrie/wQs8AAAAcAAJ
bib-7,https://www.proquest.com/docview/2240950422/99846954
bib-9,https://www.google.com/books/edition/Liber_de_Geometria_practica/xj5SAAAAcAAJ
bib-10,https://www.google.com/books/edition/La_Practiqve_De_La_Geometrie_D_Oronce_Pr/mNFZAAAAcAAJ
bib-14,https://www.google.com/books/edition/S%C5%A9ma_de_arithmetica_geometria_proportio/HzLM_2s-8MAC
bib-15,https://www.google.com/books/edition/L_Arithmetique_de_Jacques_Peletier_du_Ma/QM85AAAAcAAJ
bib-16,https://www.google.com/books/edition/De_usu_geometriae_liber_I/-sxZAAAAcAAJ
bib-17,https://www.google.com/books/edition/De_l_vsage_de_geometrie_Par_Iaques_Pelet/53FTQXywPiMC
bib-18,https://www.google.com/books/edition/Obra_intitulada_Fragmentos_Mathematicos/bTA8AAAAcAAJ
bib-19,https://www.google.com/books/edition/Tratado_de_Geometria_practica_y_speculat/7-ItjGhUIogC
bib-20,https://www.google.com/books/edition/Geometria_Prattica/zQQMJjpmuncC
bib-21,https://www.google.com/books/edition/P_Rami_Arithmeticae_libri_duo_geometriae/AVkShZ-9adAC
bib-23,https://www.google.com/books/edition/General_Trattato_Di_Numeri_Et_Misure/ck9ZAAAAcAAJ
bib-24,https://www.google.com/books/edition/Definitiones_elementi_quincti_et_sexti/dUAUWfQ5hlIC
bib-25,https://www.google.com/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ
bib-26,https://www.google.com/books/edition/Opuscoli_morali_di_Leon_Batista_Alberti/MDY8AAAAcAAJ
bib-27,https://www.google.com/books/edition/L_architettura/PyM8AAAAcAAJ
bib-28,https://www.google.com/books/edition/Lecons_de_perspective_positive/qgZfAAAAcAAJ
bib-29,https://www.google.com/books/edition/Livre_d_architecture/yUxbAAAAcAAJ
bib-35,https://www.google.com/books/edition/Io_Baptistae_Benedicti_Patritii_Veneti_p/qfVlAAAAcAAJ
bib-39,https://www.google.com/books/edition/Della_Fortificatione_Delle_Citt%C3%A0/b6VmszXPLpwC
bib-40,https://www.google.com/books/edition/Van_Den_Circkel/nVlRAAAAcAAJ
bib-41,https://www.google.com/books/edition/Ptolemaei_Planisphaerium_Iordani_planisp/4zs8AAAAcAAJ
bib-42,https://www.google.com/books/edition/De_superficierum_diuisionibus_liber_Mach/dxA4kT-KjF8C
bib-44,https://www.google.com/books/edition/Le_Premier_tome_de_l_Architecture_de_Phi/t4IMD9xRcmUC
bib-45,https://www.google.com/books/edition/OPERE_DI_ORONTIO_FINEO_DEL_DELFINATO/t2c9ZcwpeCIC
bib-46,https://www.google.com/books/edition/Vsaige_Et_description_de_l_holometre_Pou/WvR1IBq2I9sC
